Visitor,PTS,Home,PTS,visitorWin,homeWin,visTotWL,homeTotWL,visvisWL,homehomeWL,visMatchupWL,homeMatchupWL
Los Angeles Lakers,113,Sacramento Kings,108,,,,,,,,
Dallas Mavericks,90,Utah Jazz,97,,,,,,,,
Detroit Pistons,98,Charlotte Hornets,114,,,,,,,,
San Antonio Spurs,110,Cleveland Cavaliers,94,,,,,,,,
Houston Rockets,119,Denver Nuggets,114,,,,,,,,
New Orleans Pelicans,123,Milwaukee Bucks,121,,,,,,,,
Philadelphia 76ers,94,Washington Wizards,109,,,,,,,,
Los Angeles Lakers,123,Atlanta Hawks,104,,,,,,,,
Memphis Grizzlies,98,Boston Celtics,109,,,,,,,,
Chicago Bulls,87,Brooklyn Nets,104,,,,,,,,
Indiana Pacers,103,Dallas Mavericks,109,,,,,,,,
Phoenix Suns,116,New Orleans Pelicans,125,,,,,,,,
Golden State Warriors,125,New York Knicks,111,,,,,,,,
Orlando Magic,105,Oklahoma City Thunder,112,,,,,,,,
Minnesota Timberwolves,118,Sacramento Kings,100,,,,,,,,
Detroit Pistons,94,Toronto Raptors,123,,,,,,,,
Houston Rockets,96,Utah Jazz,85,,,,,,,,
Chicago Bulls,103,Charlotte Hornets,118,,,,,,,,
Brooklyn Nets,123,Cleveland Cavaliers,129,,,,,,,,
Los Angeles Clippers,122,Denver Nuggets,120,,,,,,,,
Philadelphia 76ers,101,Miami Heat,102,,,,,,,,
Washington Wizards,107,Milwaukee Bucks,104,,,,,,,,
Sacramento Kings,99,Portland Trail Blazers,116,,,,,,,,
Indiana Pacers,102,Atlanta Hawks,107,,,,,,,,
Charlotte Hornets,106,Boston Celtics,134,,,,,,,,
Oklahoma City Thunder,111,Dallas Mavericks,110,,,,,,,,
Milwaukee Bucks,87,Detroit Pistons,110,,,,,,,,
Houston Rockets,105,Los Angeles Clippers,92,,,,,,,,
Phoenix Suns,110,Memphis Grizzlies,102,,,,,,,,
Toronto Raptors,117,Orlando Magic,104,,,,,,,,
New Orleans Pelicans,121,San Antonio Spurs,116,,,,,,,,
Golden State Warriors,109,Washington Wizards,101,,,,,,,,
Philadelphia 76ers,108,Cleveland Cavaliers,97,,,,,,,,
Los Angeles Lakers,131,Miami Heat,113,,,,,,,,
Minnesota Timberwolves,99,Portland Trail Blazers,108,,,,,,,,
Brooklyn Nets,111,Sacramento Kings,116,,,,,,,,
Golden State Warriors,114,Atlanta Hawks,109,,,,,,,,
Dallas Mavericks,100,Chicago Bulls,108,,,,,,,,
New York Knicks,105,Los Angeles Clippers,128,,,,,,,,
Denver Nuggets,108,Memphis Grizzlies,102,,,,,,,,
Indiana Pacers,103,Milwaukee Bucks,96,,,,,,,,
Detroit Pistons,106,Orlando Magic,115,,,,,,,,
Charlotte Hornets,99,Philadelphia 76ers,110,,,,,,,,
Oklahoma City Thunder,124,Phoenix Suns,116,,,,,,,,
Minnesota Timberwolves,108,Utah Jazz,116,,,,,,,,
Toronto Raptors,102,Washington Wizards,95,,,,,,,,
Denver Nuggets,126,Cleveland Cavaliers,117,,,,,,,,
Boston Celtics,120,Houston Rockets,123,,,,,,,,
Detroit Pistons,96,Miami Heat,105,,,,,,,,
Memphis Grizzlies,100,Orlando Magic,107,,,,,,,,
Oklahoma City Thunder,100,Portland Trail Blazers,108,,,,,,,,
Utah Jazz,98,Sacramento Kings,91,,,,,,,,
Los Angeles Lakers,116,San Antonio Spurs,112,,,,,,,,
Phoenix Suns,112,Atlanta Hawks,113,,,,,,,,
New Orleans Pelicans,126,Dallas Mavericks,109,,,,,,,,
Brooklyn Nets,120,Los Angeles Clippers,123,,,,,,,,
Philadelphia 76ers,110,Milwaukee Bucks,118,,,,,,,,
New York Knicks,99,Sacramento Kings,102,,,,,,,,
Charlotte Hornets,98,Toronto Raptors,103,,,,,,,,
Indiana Pacers,98,Washington Wizards,95,,,,,,,,
Boston Celtics,105,Chicago Bulls,89,,,,,,,,
Detroit Pistons,90,Cleveland Cavaliers,112,,,,,,,,
Milwaukee Bucks,89,Indiana Pacers,92,,,,,,,,
Portland Trail Blazers,108,Los Angeles Lakers,103,,,,,,,,
Phoenix Suns,103,Miami Heat,125,,,,,,,,
Memphis Grizzlies,98,San Antonio Spurs,100,,,,,,,,
Orlando Magic,80,Utah Jazz,94,,,,,,,,
Philadelphia 76ers,128,Charlotte Hornets,114,,,,,,,,
Denver Nuggets,107,Dallas Mavericks,118,,,,,,,,
Brooklyn Nets,101,Golden State Warriors,114,,,,,,,,
New Orleans Pelicans,121,Los Angeles Clippers,116,,,,,,,,
Houston Rockets,122,Oklahoma City Thunder,112,,,,,,,,
New York Knicks,87,Portland Trail Blazers,111,,,,,,,,
Atlanta Hawks,90,Toronto Raptors,106,,,,,,,,
Miami Heat,113,Washington Wizards,117,,,,,,,,
Memphis Grizzlies,110,Chicago Bulls,119,,,,,,,,
Cleveland Cavaliers,113,Denver Nuggets,108,,,,,,,,
Toronto Raptors,121,Detroit Pistons,119,,,,,,,,
Utah Jazz,104,Indiana Pacers,84,,,,,,,,
Orlando Magic,107,Los Angeles Lakers,108,,,,,,,,
Houston Rockets,110,Milwaukee Bucks,99,,,,,,,,
New Orleans Pelicans,114,Sacramento Kings,101,,,,,,,,
Brooklyn Nets,125,Charlotte Hornets,111,,,,,,,,
San Antonio Spurs,107,Golden State Warriors,110,,,,,,,,
Philadelphia 76ers,99,Miami Heat,108,,,,,,,,
Boston Celtics,117,Minnesota Timberwolves,109,,,,,,,,
Phoenix Suns,87,Oklahoma City Thunder,115,,,,,,,,
Los Angeles Lakers,116,Denver Nuggets,125,,,,,,,,
Chicago Bulls,83,Detroit Pistons,99,,,,,,,,
Atlanta Hawks,87,Indiana Pacers,112,,,,,,,,
Cleveland Cavaliers,102,Los Angeles Clippers,116,,,,,,,,
Utah Jazz,95,Memphis Grizzlies,78,,,,,,,,
New York Knicks,112,Milwaukee Bucks,120,,,,,,,,
Washington Wizards,116,New Orleans Pelicans,97,,,,,,,,
Golden State Warriors,108,Portland Trail Blazers,125,,,,,,,,
Orlando Magic,88,Sacramento Kings,94,,,,,,,,
Houston Rockets,105,Toronto Raptors,108,,,,,,,,
Phoenix Suns,115,Charlotte Hornets,122,,,,,,,,
Memphis Grizzlies,80,Dallas Mavericks,114,,,,,,,,
Orlando Magic,105,Los Angeles Clippers,113,,,,,,,,
Washington Wizards,102,Miami Heat,129,,,,,,,,
San Antonio Spurs,94,Oklahoma City Thunder,104,,,,,,,,
Chicago Bulls,129,Atlanta Hawks,122,,,,,,,,
Indiana Pacers,99,Boston Celtics,97,,,,,,,,
Philadelphia 76ers,120,Brooklyn Nets,97,,,,,,,,
Houston Rockets,105,Dallas Mavericks,82,,,,,,,,
Sacramento Kings,104,Denver Nuggets,130,,,,,,,,
Cleveland Cavaliers,113,Los Angeles Lakers,127,,,,,,,,
Golden State Warriors,103,Minnesota Timberwolves,109,,,,,,,,
Utah Jazz,116,New Orleans Pelicans,99,,,,,,,,
Toronto Raptors,132,New York Knicks,106,,,,,,,,
San Antonio Spurs,93,Houston Rockets,109,,,,,,,,
Milwaukee Bucks,121,Memphis Grizzlies,103,,,,,,,,
Sacramento Kings,101,Oklahoma City Thunder,106,,,,,,,,
Miami Heat,99,Portland Trail Blazers,115,,,,,,,,
Oklahoma City Thunder,119,Atlanta Hawks,107,,,,,,,,
Toronto Raptors,116,Brooklyn Nets,102,,,,,,,,
Los Angeles Clippers,112,Chicago Bulls,106,,,,,,,,
Denver Nuggets,103,Los Angeles Lakers,112,,,,,,,,
Charlotte Hornets,115,New Orleans Pelicans,119,,,,,,,,
Dallas Mavericks,110,New York Knicks,97,,,,,,,,
Indiana Pacers,101,Philadelphia 76ers,98,,,,,,,,
Cleveland Cavaliers,129,Phoenix Suns,107,,,,,,,,
Orlando Magic,72,San Antonio Spurs,108,,,,,,,,
Detroit Pistons,79,Utah Jazz,110,,,,,,,,
Minnesota Timberwolves,116,Washington Wizards,111,,,,,,,,
Washington Wizards,125,Boston Celtics,124,,,,,,,,
Los Angeles Lakers,106,Golden State Warriors,117,,,,,,,,
Milwaukee Bucks,117,Orlando Magic,126,,,,,,,,
Miami Heat,119,Sacramento Kings,123,,,,,,,,
Charlotte Hornets,129,Atlanta Hawks,117,,,,,,,,
Detroit Pistons,113,Denver Nuggets,120,,,,,,,,
Los Angeles Clippers,96,Houston Rockets,101,,,,,,,,
Toronto Raptors,106,Indiana Pacers,99,,,,,,,,
Chicago Bulls,111,Memphis Grizzlies,110,,,,,,,,
Philadelphia 76ers,118,New York Knicks,110,,,,,,,,
Cleveland Cavaliers,105,Portland Trail Blazers,113,,,,,,,,
New Orleans Pelicans,93,San Antonio Spurs,98,,,,,,,,
Phoenix Suns,88,Utah Jazz,116,,,,,,,,
Sacramento Kings,98,Golden State Warriors,93,,,,,,,,
Miami Heat,92,Los Angeles Lakers,91,,,,,,,,
Los Angeles Clippers,113,Oklahoma City Thunder,121,,,,,,,,
Boston Celtics,92,Orlando Magic,83,,,,,,,,
Brooklyn Nets,116,Philadelphia 76ers,120,,,,,,,,
Dallas Mavericks,115,Toronto Raptors,122,,,,,,,,
Dallas Mavericks,106,Brooklyn Nets,114,,,,,,,,
Cleveland Cavaliers,114,Chicago Bulls,109,,,,,,,,
Denver Nuggets,94,Memphis Grizzlies,101,,,,,,,,
Atlanta Hawks,117,Milwaukee Bucks,122,,,,,,,,
Houston Rockets,107,New Orleans Pelicans,101,,,,,,,,
Charlotte Hornets,101,New York Knicks,124,,,,,,,,
Golden State Warriors,124,Phoenix Suns,109,,,,,,,,
Detroit Pistons,87,Portland Trail Blazers,100,,,,,,,,
Minnesota Timberwolves,101,San Antonio Spurs,117,,,,,,,,
Sacramento Kings,97,Utah Jazz,103,,,,,,,,
Indiana Pacers,102,Washington Wizards,109,,,,,,,,
Portland Trail Blazers,122,Los Angeles Clippers,109,,,,,,,,
Houston Rockets,129,Minnesota Timberwolves,120,,,,,,,,
Boston Celtics,89,New Orleans Pelicans,108,,,,,,,,
Oklahoma City Thunder,132,Toronto Raptors,125,,,,,,,,
Memphis Grizzlies,115,Brooklyn Nets,118,,,,,,,,
Milwaukee Bucks,117,Cleveland Cavaliers,124,,,,,,,,
Los Angeles Lakers,100,Indiana Pacers,110,,,,,,,,
Denver Nuggets,141,Miami Heat,149,,,,,,,,
Chicago Bulls,92,New York Knicks,110,,,,,,,,
Charlotte Hornets,94,Philadelphia 76ers,108,,,,,,,,
Detroit Pistons,106,Sacramento Kings,90,,,,,,,,
Golden State Warriors,75,San Antonio Spurs,89,,,,,,,,
Oklahoma City Thunder,99,Boston Celtics,100,,,,,,,,
Los Angeles Clippers,109,Minnesota Timberwolves,123,,,,,,,,
Dallas Mavericks,105,New Orleans Pelicans,115,,,,,,,,
Toronto Raptors,93,Orlando Magic,86,,,,,,,,
Detroit Pistons,115,Phoenix Suns,88,,,,,,,,
Houston Rockets,115,Portland Trail Blazers,111,,,,,,,,
Atlanta Hawks,99,Utah Jazz,94,,,,,,,,
Charlotte Hornets,111,Brooklyn Nets,105,,,,,,,,
Denver Nuggets,135,Chicago Bulls,102,,,,,,,,
Toronto Raptors,129,Cleveland Cavaliers,132,,,,,,,,
New York Knicks,98,Miami Heat,119,,,,,,,,
Los Angeles Clippers,127,Milwaukee Bucks,120,,,,,,,,
Indiana Pacers,92,New Orleans Pelicans,96,,,,,,,,
Memphis Grizzlies,105,Philadelphia 76ers,119,,,,,,,,
Washington Wizards,90,San Antonio Spurs,98,,,,,,,,
Memphis Grizzlies,79,Charlotte Hornets,140,,,,,,,,
Utah Jazz,119,Dallas Mavericks,112,,,,,,,,
Detroit Pistons,96,Houston Rockets,100,,,,,,,,
Los Angeles Lakers,125,New Orleans Pelicans,128,,,,,,,,
Philadelphia 76ers,118,Orlando Magic,98,,,,,,,,
Atlanta Hawks,90,Sacramento Kings,105,,,,,,,,
Milwaukee Bucks,118,Chicago Bulls,105,,,,,,,,
Phoenix Suns,95,Cleveland Cavaliers,120,,,,,,,,
Atlanta Hawks,94,Golden State Warriors,106,,,,,,,,
Los Angeles Clippers,104,Indiana Pacers,109,,,,,,,,
Minnesota Timberwolves,108,New York Knicks,104,,,,,,,,
Miami Heat,99,Oklahoma City Thunder,105,,,,,,,,
Boston Celtics,105,Portland Trail Blazers,100,,,,,,,,
Utah Jazz,120,San Antonio Spurs,124,,,,,,,,
Brooklyn Nets,112,Toronto Raptors,116,,,,,,,,
Denver Nuggets,108,Washington Wizards,100,,,,,,,,
Charlotte Hornets,102,Dallas Mavericks,98,,,,,,,,
Chicago Bulls,95,Detroit Pistons,117,,,,,,,,
New Orleans Pelicans,91,Houston Rockets,114,,,,,,,,
Los Angeles Lakers,100,Memphis Grizzlies,93,,,,,,,,
Phoenix Suns,99,Orlando Magic,105,,,,,,,,
Minnesota Timberwolves,108,Philadelphia 76ers,120,,,,,,,,
Cleveland Cavaliers,121,Brooklyn Nets,114,,,,,,,,
Utah Jazz,110,Golden State Warriors,91,,,,,,,,
Atlanta Hawks,99,Houston Rockets,118,,,,,,,,
Miami Heat,107,Indiana Pacers,113,,,,,,,,
San Antonio Spurs,103,Milwaukee Bucks,106,,,,,,,,
Portland Trail Blazers,108,Oklahoma City Thunder,105,,,,,,,,
Boston Celtics,104,Sacramento Kings,93,,,,,,,,
Los Angeles Clippers,117,Toronto Raptors,106,,,,,,,,
New York Knicks,101,Washington Wizards,97,,,,,,,,
New York Knicks,128,Charlotte Hornets,137,,,,,,,,
Los Angeles Lakers,106,Detroit Pistons,112,,,,,,,,
Memphis Grizzlies,101,Minnesota Timberwolves,93,,,,,,,,
Denver Nuggets,104,Philadelphia 76ers,123,,,,,,,,
Boston Celtics,102,Phoenix Suns,94,,,,,,,,
Indiana Pacers,92,Golden State Warriors,81,,,,,,,,
Chicago Bulls,86,Houston Rockets,118,,,,,,,,
Milwaukee Bucks,98,Los Angeles Clippers,105,,,,,,,,
Cleveland Cavaliers,79,Miami Heat,98,,,,,,,,
Portland Trail Blazers,107,New Orleans Pelicans,103,,,,,,,,
Dallas Mavericks,103,Sacramento Kings,97,,,,,,,,
Denver Nuggets,110,Toronto Raptors,114,,,,,,,,
San Antonio Spurs,106,Washington Wizards,116,,,,,,,,
Cleveland Cavaliers,118,Charlotte Hornets,105,,,,,,,,
Dallas Mavericks,93,Los Angeles Lakers,103,,,,,,,,
Portland Trail Blazers,103,Memphis Grizzlies,108,,,,,,,,
Atlanta Hawks,114,Minnesota Timberwolves,126,,,,,,,,
Brooklyn Nets,111,Orlando Magic,104,,,,,,,,
New York Knicks,101,Philadelphia 76ers,118,,,,,,,,
Los Angeles Clippers,111,Phoenix Suns,99,,,,,,,,
Boston Celtics,97,Utah Jazz,94,,,,,,,,
Washington Wizards,92,Detroit Pistons,103,,,,,,,,
Milwaukee Bucks,116,Golden State Warriors,107,,,,,,,,
Chicago Bulls,92,Miami Heat,103,,,,,,,,
Indiana Pacers,106,Sacramento Kings,103,,,,,,,,
Oklahoma City Thunder,99,San Antonio Spurs,103,,,,,,,,
Philadelphia 76ers,101,Atlanta Hawks,91,,,,,,,,
New Orleans Pelicans,102,Cleveland Cavaliers,107,,,,,,,,
Minnesota Timberwolves,93,Dallas Mavericks,92,,,,,,,,
Phoenix Suns,103,Houston Rockets,104,,,,,,,,
Milwaukee Bucks,124,Los Angeles Lakers,122,,,,,,,,
Denver Nuggets,126,Oklahoma City Thunder,125,,,,,,,,
Chicago Bulls,90,Orlando Magic,82,,,,,,,,
Los Angeles Clippers,96,Portland Trail Blazers,105,,,,,,,,
Memphis Grizzlies,97,Utah Jazz,107,,,,,,,,
Toronto Raptors,99,Boston Celtics,110,,,,,,,,
Brooklyn Nets,110,Miami Heat,109,,,,,,,,
Detroit Pistons,115,New York Knicks,109,,,,,,,,
Golden State Warriors,112,Sacramento Kings,96,,,,,,,,
Charlotte Hornets,93,Washington Wizards,107,,,,,,,,
Orlando Magic,88,Atlanta Hawks,94,,,,,,,,
Detroit Pistons,108,Brooklyn Nets,96,,,,,,,,
Washington Wizards,94,Chicago Bulls,113,,,,,,,,
Philadelphia 76ers,119,Charlotte Hornets,102,,,,,,,,
Dallas Mavericks,87,Cleveland Cavaliers,98,,,,,,,,
Milwaukee Bucks,125,Denver Nuggets,128,,,,,,,,
Phoenix Suns,107,Golden State Warriors,117,,,,,,,,
Indiana Pacers,111,Los Angeles Clippers,104,,,,,,,,
Sacramento Kings,84,Los Angeles Lakers,83,,,,,,,,
Utah Jazz,121,Minnesota Timberwolves,97,,,,,,,,
Oklahoma City Thunder,109,New Orleans Pelicans,104,,,,,,,,
Memphis Grizzlies,98,Portland Trail Blazers,113,,,,,,,,
Houston Rockets,83,San Antonio Spurs,100,,,,,,,,
Charlotte Hornets,114,Chicago Bulls,120,,,,,,,,
Toronto Raptors,106,Cleveland Cavaliers,112,,,,,,,,
Portland Trail Blazers,109,Dallas Mavericks,115,,,,,,,,
Indiana Pacers,104,Denver Nuggets,107,,,,,,,,
Washington Wizards,104,Houston Rockets,120,,,,,,,,
San Antonio Spurs,110,Los Angeles Clippers,113,,,,,,,,
Atlanta Hawks,98,Miami Heat,101,,,,,,,,
Boston Celtics,102,Milwaukee Bucks,106,,,,,,,,
Orlando Magic,97,New York Knicks,73,,,,,,,,
Golden State Warriors,111,Oklahoma City Thunder,107,,,,,,,,
Brooklyn Nets,95,Philadelphia 76ers,121,,,,,,,,
Sacramento Kings,94,Phoenix Suns,97,,,,,,,,
Los Angeles Lakers,110,Utah Jazz,117,,,,,,,,
Miami Heat,115,Atlanta Hawks,86,,,,,,,,
Philadelphia 76ers,115,Detroit Pistons,108,,,,,,,,
San Antonio Spurs,112,Los Angeles Lakers,122,,,,,,,,
Memphis Grizzlies,95,New Orleans Pelicans,123,,,,,,,,
Dallas Mavericks,100,Orlando Magic,105,,,,,,,,
Boston Celtics,78,Toronto Raptors,96,,,,,,,,
Washington Wizards,115,Cleveland Cavaliers,119,,,,,,,,
Minnesota Timberwolves,96,Denver Nuggets,100,,,,,,,,
Portland Trail Blazers,94,Houston Rockets,96,,,,,,,,
Golden State Warriors,106,Indiana Pacers,126,,,,,,,,
Brooklyn Nets,119,Milwaukee Bucks,111,,,,,,,,
Los Angeles Clippers,95,Utah Jazz,117,,,,,,,,
Chicago Bulls,104,Boston Celtics,111,,,,,,,,
Dallas Mavericks,106,Detroit Pistons,113,,,,,,,,
Minnesota Timberwolves,113,Los Angeles Lakers,96,,,,,,,,
Sacramento Kings,94,Memphis Grizzlies,93,,,,,,,,
Miami Heat,98,New York Knicks,122,,,,,,,,
Charlotte Hornets,137,Orlando Magic,100,,,,,,,,
Cleveland Cavaliers,130,Philadelphia 76ers,132,,,,,,,,
New Orleans Pelicans,122,Phoenix Suns,103,,,,,,,,
Indiana Pacers,73,Toronto Raptors,92,,,,,,,,
Atlanta Hawks,103,Washington Wizards,97,,,,,,,,
Brooklyn Nets,124,Chicago Bulls,96,,,,,,,,
New Orleans Pelicans,126,Golden State Warriors,120,,,,,,,,
Oklahoma City Thunder,108,Houston Rockets,102,,,,,,,,
Denver Nuggets,134,Los Angeles Clippers,115,,,,,,,,
Milwaukee Bucks,115,New York Knicks,102,,,,,,,,
Portland Trail Blazers,105,San Antonio Spurs,116,,,,,,,,
Atlanta Hawks,112,Boston Celtics,106,,,,,,,,
Indiana Pacers,123,Charlotte Hornets,117,,,,,,,,
Utah Jazz,112,Los Angeles Lakers,97,,,,,,,,
Detroit Pistons,117,Memphis Grizzlies,130,,,,,,,,
Dallas Mavericks,97,Philadelphia 76ers,109,,,,,,,,
Golden State Warriors,117,Phoenix Suns,100,,,,,,,,
Orlando Magic,101,Toronto Raptors,112,,,,,,,,
Chicago Bulls,105,Brooklyn Nets,114,,,,,,,,
Portland Trail Blazers,82,Denver Nuggets,88,,,,,,,,
Toronto Raptors,108,Detroit Pistons,98,,,,,,,,
New Orleans Pelicans,113,Los Angeles Clippers,100,,,,,,,,
Oklahoma City Thunder,115,Miami Heat,93,,,,,,,,
Orlando Magic,86,Milwaukee Bucks,102,,,,,,,,
Memphis Grizzlies,94,Minnesota Timberwolves,113,,,,,,,,
Cleveland Cavaliers,123,New York Knicks,109,,,,,,,,
Sacramento Kings,85,San Antonio Spurs,98,,,,,,,,
Philadelphia 76ers,121,Atlanta Hawks,113,,,,,,,,
Phoenix Suns,124,Dallas Mavericks,97,,,,,,,,
Charlotte Hornets,119,Indiana Pacers,93,,,,,,,,
Houston Rockets,105,Los Angeles Lakers,99,,,,,,,,
Golden State Warriors,79,Utah Jazz,119,,,,,,,,
Boston Celtics,101,Washington Wizards,113,,,,,,,,
Brooklyn Nets,97,Boston Celtics,110,,,,,,,,
Detroit Pistons,119,Chicago Bulls,87,,,,,,,,
New York Knicks,110,Cleveland Cavaliers,98,,,,,,,,
Los Angeles Lakers,115,Los Angeles Clippers,100,,,,,,,,
Toronto Raptors,109,Miami Heat,116,,,,,,,,
Denver Nuggets,106,Minnesota Timberwolves,112,,,,,,,,
San Antonio Spurs,98,New Orleans Pelicans,122,,,,,,,,
Memphis Grizzlies,123,Oklahoma City Thunder,137,,,,,,,,
Washington Wizards,92,Orlando Magic,101,,,,,,,,
Milwaukee Bucks,95,Philadelphia 76ers,130,,,,,,,,
Utah Jazz,93,Portland Trail Blazers,102,,,,,,,,
Houston Rockets,83,Sacramento Kings,96,,,,,,,,
